spatial_id,16907701,16902008,16904009,16902009,16902002,16904010,16904008,16904007,16904011,16905002,16904012,16904006,16904022,16904021,16904003,16904015,16904002,16904016,16904017,16903009,16903010,16903011,16903006,16903005,16902018,16902016,16902020,16903013,16902011,16905003,16910029,16909052,16909051,16909050,16909049,16909061,16908055,16908054,16908053,16908052,16908051,16908050,16908049,16907703,16916201,16907702,17717006,16913524,16913325,16910042,16913326,16913327,16910030,16913328,16913329,16915210,16915201,16915101,16916301
060770001001,2829.7,2610.6,2499.5,2620.8,2508.8,2466.5,2453.5,2422.9,2401.1,2455.5,2352.3,2384.8,2323.9,2303.4,2285.8,2254.4,2270.8,2221.8,2189.5,2157.2,2124.4,2058.7,2028,1997.8,2024.9,1972.7,1926.9,2078.8,2064,2265,3333.5,3276,3252.6,3221.8,3206.4,3183.8,3129.4,3106.8,3095.3,3080.2,3065.2,3050,3035.2,2984.7,2985.5,2921.3,4010,3649.8,3547.4,3435.2,3461.1,3416.5,3394.9,3386.3,3349.2,3285.5,3219.6,3135.6,3081.9
060770001002,3103.6,2858.5,2768.5,2893.8,2792.9,2720.6,2724.8,2695.8,2658.2,2742.5,2611.8,2659.8,2602.2,2565.4,2566.4,2518.9,2552.2,2488.2,2457.6,2427.1,2396.3,2335.6,2325.2,2297.1,2329.6,2305,2240.3,2372.4,2377.1,2560.3,3581.6,3528.2,3503.6,3474.9,3460.3,3438.7,3386.9,3365.4,3354.5,3340.1,3325.9,3311.5,3297.5,3249.4,3264.3,3189.6,4247.3,3902.1,3802.5,3678.3,3719.1,3676.2,3640.3,3647,3611.3,3550.2,3487,3409.9,3357
060770001003,2012.8,1782.8,1678.8,1802.5,1694.8,1640.1,1633.5,1603.3,1575.3,1642.6,1527,1565.9,1506.1,1478.7,1468.8,1430.3,1454,1398.2,1366.3,1334.5,1302.3,1238.2,1217.3,1188,1218.4,1184.3,1124.9,1266.6,1263,1455.1,2508.8,2452.5,2428.5,2398.4,2383.2,2360.9,2307.2,2284.9,2273.6,2258.7,2244,2229.1,2214.5,2164.7,2171.4,2102.4,3183.6,2827.4,2725.8,2609.2,2640.2,2596.2,2569.5,2566.2,2529.6,2466.6,2401.6,2320.1,2266.6
060770001004,2303.6,2049.1,1972.1,2097.1,2005.1,1917,1930.8,1903.5,1857.6,1957.7,1813.7,1869.6,1815.7,1769.9,1782.3,1726.2,1769.1,1697.5,1668.9,1640.5,1612,1557,1561.4,1536.3,1571.5,1570.9,1493.5,1604.1,1623.5,1786.4,2763.3,2712.2,2687.3,2659.8,2645.7,2624.9,2574.8,2554.1,2543.6,2529.8,2516.1,2502.3,2488.8,2442.5,2464.6,2385.4,3420.5,3083.1,2985.5,2857.2,2904,2862.2,2820.4,2833.8,2799,2739.7,2678.5,2605.8,2554.1
060770003001,3906.4,3643.9,3584.3,3706.9,3624.7,3522.1,3546,3520.7,3467.3,3580.6,3426.8,3489.3,3439.2,3386.5,3408.2,3346.1,3395.9,3319.6,3293.2,3266.9,3240.5,3190,3201.6,3177.9,3213.7,3218.8,3139.5,3241.8,3266.6,3418.9,4329.6,4283.9,4258.9,4234.2,4221.2,4201.9,4155.8,4136.7,4127,4114.3,4101.7,4089,4076.6,4033.8,4065.4,3981.4,4955.7,4642.8,4550.7,4415.8,4474.3,4435.3,4382.3,4408.7,4376.2,4320.9,4263.9,4198.8,4149.4
060770003002,3052.9,2790.1,2731.9,2854.1,2773.5,2669,2694.1,2669.1,2614.8,2730.1,2574.8,2638.2,2589.1,2535,2558.7,2495.3,2546.7,2469.4,2443.5,2417.8,2392.2,2343.3,2358.5,2335.8,2371.9,2383.6,2301.6,2397.1,2425.5,2571.5,3476.6,3430.5,3405.5,3380.6,3367.5,3348.2,3301.9,3282.8,3273.1,3260.4,3247.7,3235,3222.6,3179.9,3211.7,3127.5,4106.5,3790.5,3697.9,3563.4,3621.1,3581.9,3529.6,3555.2,3522.6,3467.1,3409.9,3344.8,3295.4
060770004011,4511.7,4258.3,4178.9,4304.2,4209.1,4125.4,4136.8,4108.9,4065.4,4160.4,4020.7,4074.2,4018.7,3976.1,3984.2,3931.3,3970.5,3901.8,3872.4,3843,3813.4,3755.5,3751.6,3724.5,3758.2,3740.4,3672,3797.2,3807.4,3983.3,4971.2,4920.7,4895.8,4868.5,4854.5,4833.7,4783.9,4763.2,4752.7,4738.9,4725.3,4711.5,4698,4651.6,4672.8,4594.2,5623.1,5290.4,5193.5,5064,5112.5,5070.9,5027.7,5042.6,5008,4948.9,4887.7,4814.8,4762.9
060770004012,4131.7,3874.4,3801.8,3926.5,3835.7,3745,3760.9,3733.8,3686.6,3788.5,3643.3,3700.1,3646.4,3600,3613,3556.7,3599.8,3528.1,3499.6,3471.3,3442.7,3387.2,3388.9,3363,3397.6,3388.3,3315.4,3432.7,3448.4,3616.3,4579.6,4530.7,4505.6,4479.2,4465.5,4445.2,4396.6,4376.4,4366.2,4352.7,4339.4,4325.9,4312.8,4267.6,4292.5,4211.8,5223.8,4897.3,4801.9,4670.3,4722.3,4681.5,4634.9,4653.8,4619.9,4561.9,4502.1,4431.7,4380.6
060770004013,4829,4568.5,4502.6,4626.5,4539.7,4443,4463,4436.7,4386.4,4493.9,4344.4,4404,4351.9,4302.5,4319.5,4260.5,4306.7,4232.8,4205.2,4177.7,4150.1,4096.6,4102.2,4077.1,4112.2,4107.8,4032.7,4144.8,4163.9,4326.1,5262.8,5215.9,5190.9,5165.5,5152.2,5132.5,5085.4,5065.9,5055.9,5042.9,5030,5016.9,5004.2,4960.4,4989,4906.4,5894.7,5577.7,5484.5,5350.6,5406.9,5367.2,5316.4,5340.2,5307.1,5250.7,5192.5,5125.1,5074.9
