spatial_id,16907701,16902008,16904009,16902009,16902002,16904010,16904008,16904007,16904011,16905002,16904012,16904006,16904022,16904021,16904003,16904015,16904002,16904016,16904017,16903009,16903010,16903011,16903006,16903005,16902018,16902016,16902020,16903013,16902011,16905003,16910029,16909052,16909051,16909050,16909049,16909061,16908055,16908054,16908053,16908052,16908051,16908050,16908049,16907703,16916201,16907702,17717006,16913524,16913325,16910042,16913326,16913327,16910030,16913328,16913329,16915210,16915201,16915101,16916301
060770001001,7,7,6,7,6,6,6,7,7,6,7,7,7,7,7,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,7,7,7,8,7,7,7,7,7,7,7,7,7,7,8,7,9,8,8,8,8,8,8,8,7,8,8,8,7
060770001002,8,8,7,8,7,7,7,8,8,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,9,9,9,9,9,9,8,9,9,9,8
060770001003,6,5,4,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,4,5,5,6,6,6,6,5,5,5,5,5,5,5,5,6,5,7,6,6,6,6,6,6,6,5,6,6,6,5
060770001004,7,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,7,7,7,7,6,6,6,6,6,6,6,6,7,6,8,7,7,7,7,7,7,7,7,7,7,7,6
060770003001,11,10,10,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,11,11,11,11,10,10,10,10,10,10,10,10,11,10,12,11,11,11,11,11,11,11,10,11,11,11,10
060770003002,9,9,8,9,8,8,8,9,9,8,9,9,9,9,9,9,9,9,9,9,8,9,9,8,8,9,8,9,9,8,9,9,10,10,10,9,9,9,9,9,9,9,9,9,10,9,11,10,10,10,10,10,10,10,9,10,10,10,9
060770004011,13,13,12,13,12,12,12,13,13,12,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,15,13,14,14,14,14,14,14,13,14,14,14,13
060770004012,12,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,14,12,13,13,13,13,13,13,12,12,13,12,12
060770004013,11,10,10,10,10,10,10,10,11,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,13,11,12,12,12,12,12,12,11,12,12,11,11
060770004014,11,10,10,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,10,10,11,11,11,11,10,10,10,10,10,10,10,10,11,10,12,11,11,11,11,11,11,11,10,11,11,11,10
060770004021,10,9,9,9,8,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,8,9,9,10,10,10,10,9,9,9,9,9,9,9,9,10,9,11,10,10,10,10,10,10,10,10,10,10,10,9
060770004022,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,10,10,10,10,10,10,10,10,10,9,9,9,9,9,10,9,11,10,10,10,10,10,10,10,10,10,10,10,9
060770004023,10,10,9,10,9,9,9,10,10,9,10,10,10,10,10,10,10,10,10,9,9,10,10,9,9,10,9,9,10,9,10,10,11,11,11,10,10,10,10,10,10,10,10,10,11,10,12,11,11,11,11,11,11,11,10,11,11,11,10
060770004024,11,11,10,11,10,10,10,11,11,10,11,11,11,11,11,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,13,11,12,12,12,12,12,12,11,12,12,12,11
060770005001,8,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,8,8,8,8,7,7,7,7,7,7,7,7,8,7,9,8,8,8,8,8,8,8,7,8,8,8,7
060770005002,8,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,8,8,8,8,7,7,7,7,7,7,7,7,8,7,9,8,8,8,8,8,8,8,8,8,8,8,7
060770006001,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,8,7,7,7,8,8,7,8,7,7,7,7,7
060770006002,4,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,5,4,4,4,4,4,4,4,4,4,4,4,3
060770007001,4,4,3,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,4,4,5,5,5,4,4,4,4,4,4,4,4,4,5,4,6,5,5,5,5,5,5,5,4,5,5,5,4
060770007002,5,5,4,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,4,5,5,6,6,6,5,5,5,5,5,5,5,5,5,6,5,7,6,6,6,6,6,6,6,5,6,6,6,5
060770007003,8,7,6,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,7,6,7,7,8,8,8,8,7,7,7,7,7,7,7,7,8,7,9,8,8,8,8,8,8,8,7,8,8,8,7
060770007004,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,9,9,9,9,9,9,9,9,9,8,8,8,8,8,9,8,10,9,9,9,9,9,9,9,9,9,9,9,8
060770008011,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,13,13,13,13,13,13,13,13,13,13,13,12,12,12,13,13,14,13,13,13,13,13,13,14,13,13,13,13,13
060770008012,10,9,9,9,8,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,8,9,9,10,10,10,10,9,9,9,9,9,9,9,9,10,9,11,10,10,10,10,10,10,10,9,10,10,10,9
060770008013,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,10,10,10,10,10,10,10,10,9,9,9,9,9,9,10,9,11,10,10,10,10,10,10,10,10,10,10,10,9
060770009001,11,11,10,11,10,10,10,11,11,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,12,12,12,12,12,12,11,12,12,12,11
060770009002,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,11,10,11,11,11,11,11,10,10,10,10,10,10,10,11,10,12,11,11,11,11,11,11,11,11,11,11,11,10
060770009003,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,12,11,12,12,12,12,12,12,11,11,12,11,11
060770009004,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,11,10,10,11,11,11,10,11,10,10,10,10,10
060770009005,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,12,12,11,11,11,11,12,12,13,12,12,12,12,12,12,12,12,12,12,12,11
060770010001,12,12,11,12,11,11,11,12,12,11,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,13,13,13,13,13,13,12,13,13,13,12
060770010002,10,10,9,10,9,10,9,10,10,9,10,10,10,10,10,10,10,10,10,10,9,10,10,9,9,10,9,10,10,9,10,10,11,11,11,10,10,10,10,10,10,10,10,10,11,10,12,11,11,11,11,11,11,11,10,11,11,11,10
060770010003,14,13,12,13,12,13,12,13,13,12,13,13,13,13,13,13,13,13,13,13,12,13,13,12,12,13,12,13,13,12,13,13,14,14,14,14,13,13,13,13,13,13,13,13,14,13,15,14,14,14,14,14,14,14,13,14,14,14,13
060770010004,12,12,11,12,11,12,11,12,12,11,12,12,12,12,12,12,12,12,12,12,11,12,12,11,11,12,11,12,12,11,12,12,13,13,13,12,12,12,12,12,12,12,12,12,13,12,14,13,13,13,13,13,13,13,12,13,13,13,12
060770011011,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,14,14,14,14,14,14,14,14,14,14,13,13,13,13,14,14,15,14,14,14,14,14,14,14,14,14,14,14,13
060770011012,14,14,13,14,13,13,13,14,14,13,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,14,15,15,15,15,15,15,14,15,15,15,14
060770011013,13,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,15,13,14,14,14,14,14,14,13,14,14,13,13
060770011021,13,12,12,12,11,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,13,13,13,13,12,12,12,12,12,12,12,12,13,12,14,13,13,13,13,13,13,13,13,13,13,13,12
060770011022,12,12,11,12,11,11,11,12,12,11,12,12,12,12,12,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,14,12,13,13,13,13,13,13,12,13,13,13,12
060770011023,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,13,12,12,12,13,13,12,13,12,12,12,12,12
060770011024,13,12,12,12,11,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,13,13,13,13,12,12,12,12,12,12,12,12,13,12,14,13,13,13,13,13,13,13,13,13,13,13,12
060770011025,11,11,10,11,10,10,10,11,11,10,11,11,11,11,11,11,11,11,10,10,10,11,11,10,10,10,10,10,10,10,11,11,12,12,12,11,11,11,11,11,11,11,11,11,12,11,13,12,12,12,12,12,12,12,11,12,12,12,11
060770012001,14,14,13,14,13,13,13,14,14,13,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,14,15,15,15,15,15,15,14,15,15,15,14
060770012002,15,15,14,15,14,14,14,15,15,14,15,15,15,15,15,15,15,15,15,14,14,15,15,14,14,14,14,14,14,14,15,15,16,16,16,15,15,15,15,15,15,15,15,15,16,15,17,16,16,16,16,16,16,16,15,16,16,16,15
