spatial_id,bicycling.atm.1,bicycling.atm.2,bicycling.atm.3,bicycling.bakery.1,bicycling.bakery.2,bicycling.bakery.3,bicycling.bakery.4,bicycling.bakery.5,bicycling.bank.1,bicycling.bank.2,bicycling.bank.3,bicycling.beauty_salon.1,bicycling.beauty_salon.2,bicycling.beauty_salon.3,bicycling.beauty_salon.4,bicycling.beauty_salon.5,bicycling.book_store.1,bicycling.book_store.2,bicycling.book_store.3,bicycling.bus_station.1,bicycling.bus_station.2,bicycling.bus_station.3,bicycling.cafe.1,bicycling.cafe.2,bicycling.cafe.3,bicycling.cafe.4,bicycling.cafe.5,bicycling.clothing_store.1,bicycling.clothing_store.2,bicycling.clothing_store.3,bicycling.clothing_store.4,bicycling.clothing_store.5,bicycling.convenience_store.1,bicycling.convenience_store.2,bicycling.convenience_store.3,bicycling.convenience_store.4,bicycling.convenience_store.5,bicycling.dentist.1,bicycling.dentist.2,bicycling.dentist.3,bicycling.department_store.1,bicycling.department_store.2,bicycling.department_store.3,bicycling.department_store.4,bicycling.department_store.5,bicycling.doctor.1,bicycling.doctor.2,bicycling.doctor.3,bicycling.electronics_store.1,bicycling.electronics_store.2,bicycling.electronics_store.3,bicycling.florist.1,bicycling.florist.2,bicycling.florist.3,bicycling.furniture_store.1,bicycling.furniture_store.2,bicycling.furniture_store.3,bicycling.gym.1,bicycling.gym.2,bicycling.gym.3,bicycling.hair_care.1,bicycling.hair_care.2,bicycling.hair_care.3,bicycling.hair_care.4,bicycling.hair_care.5,bicycling.hardware_store.1,bicycling.hardware_store.2,bicycling.hardware_store.3,bicycling.home_goods_store.1,bicycling.home_goods_store.2,bicycling.home_goods_store.3,bicycling.home_goods_store.4,bicycling.home_goods_store.5,bicycling.hospital.1,bicycling.hospital.2,bicycling.hospital.3,bicycling.laundry.1,bicycling.laundry.2,bicycling.laundry.3,bicycling.library.1,bicycling.library.2,bicycling.library.3,bicycling.liquor_store.1,bicycling.liquor_store.2,bicycling.liquor_store.3,bicycling.meal_takeaway.1,bicycling.meal_takeaway.2,bicycling.meal_takeaway.3,bicycling.meal_takeaway.4,bicycling.meal_takeaway.5,bicycling.park.1,bicycling.park.2,bicycling.park.3,bicycling.park.4,bicycling.park.5,bicycling.pet_store.1,bicycling.pet_store.2,bicycling.pet_store.3,bicycling.pharmacy.1,bicycling.pharmacy.2,bicycling.pharmacy.3,bicycling.restaurant.1,bicycling.restaurant.2,bicycling.restaurant.3,bicycling.restaurant.4,bicycling.restaurant.5,bicycling.restaurant.6,bicycling.restaurant.7,bicycling.restaurant.8,bicycling.restaurant.9,bicycling.restaurant.10,bicycling.school.1,bicycling.school.2,bicycling.school.3,bicycling.shoe_store.1,bicycling.shoe_store.2,bicycling.shoe_store.3,bicycling.shopping_mall.1,bicycling.shopping_mall.2,bicycling.shopping_mall.3,bicycling.store.1,bicycling.store.2,bicycling.store.3,bicycling.store.4,bicycling.store.5,bicycling.supermarket.1,bicycling.supermarket.2,bicycling.supermarket.3,bicycling.supermarket.4,bicycling.supermarket.5,bicycling.train_station.1
060770008013,15,15,15,14,17,24,40,59,17,18,26,22,22,24,24,25,7,22,25,17,21,21,12,14,23,39,57,16,22,23,25,25,11,14,20,23,23,13,15,18,18,22,39,39,40,13,20,20,12,26,30,16,18,19,18,18,18,13,22,30,15,18,19,21,23,12,25,25,13,15,19,21,26,22,23,58,23,26,28,20,34,38,20,21,30,15,23,24,24,48,17,18,22,23,24,26,33,56,21,22,26,12,16,19,19,20,21,21,24,24,25,11,17,22,17,24,34,13,13,29,16,17,20,22,23,19,22,23,26,54,15
060770009001,21,22,27,6,19,22,28,31,18,19,24,14,19,19,26,28,7,27,29,23,23,24,7,11,19,21,32,19,20,21,23,36,10,10,10,22,30,10,10,14,16,18,22,23,34,15,16,16,10,12,35,12,16,21,26,27,31,8,25,25,4,8,11,27,36,16,18,27,16,17,17,18,26,33,33,43,10,13,26,10,28,44,7,18,29,8,26,26,27,51,10,23,23,27,39,4,16,26,11,13,42,19,19,20,22,22,24,26,26,26,26,14,21,23,18,19,19,15,19,19,23,23,24,30,31,9,16,26,29,34,19
060770009002,12,32,32,7,14,24,37,40,19,24,25,16,16,24,24,35,7,13,31,23,23,31,16,17,27,28,34,12,18,19,26,32,5,13,15,24,35,11,13,13,23,27,28,36,39,15,15,15,19,19,39,2,16,26,21,32,41,13,29,30,14,23,23,36,36,12,16,25,16,20,20,22,32,17,38,48,8,15,35,15,29,43,23,24,34,8,13,13,13,32,5,11,23,28,35,9,22,31,13,15,16,15,16,18,18,20,21,21,23,25,25,15,26,31,15,19,23,14,24,24,22,23,23,23,30,11,14,18,28,32,18
060770009003,25,29,30,20,23,23,24,24,20,21,26,16,20,20,20,28,7,28,29,21,24,25,10,22,24,34,35,16,20,23,23,37,12,12,12,24,33,10,11,12,20,22,24,25,29,16,16,31,10,36,40,12,14,18,20,23,33,16,27,27,9,18,22,29,36,18,32,32,15,17,17,18,25,22,28,43,8,31,40,12,26,44,17,19,30,10,29,29,35,50,3,16,25,26,41,18,28,28,9,13,29,19,19,20,21,22,24,25,26,29,29,22,26,28,14,20,39,14,22,29,23,23,24,24,30,8,11,23,24,36,18
060770009004,24,27,32,19,22,26,32,36,22,24,28,17,17,26,28,30,12,30,32,26,27,33,23,24,27,39,53,21,24,25,25,33,14,14,14,28,40,12,13,13,22,23,26,27,31,17,17,27,25,37,42,14,16,19,22,26,34,29,29,31,7,12,13,31,36,23,32,34,18,18,18,27,31,24,30,44,14,17,25,15,28,45,5,5,22,9,23,25,31,42,5,10,20,27,35,20,30,30,12,23,32,18,20,20,20,21,23,27,27,30,31,28,32,34,21,22,28,24,30,34,24,24,25,25,32,10,13,25,26,38,20
060770009005,28,29,37,25,28,29,39,53,21,24,26,20,25,31,33,36,33,34,34,24,25,25,25,25,33,36,41,21,21,25,27,28,17,17,43,53,55,15,16,16,25,26,28,29,30,20,20,36,18,38,40,17,28,28,20,38,38,29,32,32,13,15,15,17,39,21,23,29,20,21,24,33,34,27,33,53,10,12,27,17,18,31,11,23,24,6,9,26,28,39,16,21,30,38,43,23,33,35,20,21,34,23,23,24,26,26,30,30,33,36,36,28,31,35,24,25,27,32,36,39,27,27,28,34,34,16,25,29,36,41,23
060770010001,17,22,34,18,20,21,34,37,17,21,28,22,23,24,24,24,12,29,31,25,38,38,5,12,14,19,20,20,22,22,22,24,13,22,23,26,32,22,22,24,21,21,25,33,48,31,33,33,22,25,33,4,23,23,21,35,36,25,34,37,21,22,22,32,34,26,31,36,19,21,30,31,33,26,45,62,17,22,22,13,15,25,19,31,35,16,21,22,32,34,20,25,31,37,41,15,16,25,29,33,33,22,23,23,24,24,30,30,30,30,31,20,33,33,13,20,21,15,22,33,26,27,27,27,28,14,21,25,30,46,30
060770010002,22,25,27,5,24,25,34,34,21,22,29,24,26,31,31,31,13,13,31,29,31,33,16,21,30,30,37,13,28,34,35,37,1,1,18,18,36,18,31,32,21,22,26,34,35,31,33,36,27,29,54,24,24,34,20,30,30,25,32,34,26,27,27,28,29,27,31,32,24,27,30,31,31,23,29,58,27,31,37,13,16,27,30,33,39,24,30,31,34,36,14,20,23,23,47,18,26,29,18,25,37,25,25,26,26,26,26,31,31,31,33,26,30,34,17,20,21,31,33,34,29,29,29,31,41,14,17,24,26,30,28
060770010003,35,35,36,22,28,35,35,39,23,23,30,26,27,28,28,32,14,18,32,28,40,40,17,22,24,27,50,24,25,26,27,36,19,26,28,30,31,27,27,27,23,23,27,35,51,28,35,35,23,31,32,16,25,49,21,24,37,35,35,35,24,27,27,33,38,33,40,42,26,26,34,35,36,23,35,49,26,29,38,15,17,28,8,26,34,23,25,25,38,38,19,19,35,39,40,19,20,27,35,36,58,26,26,27,28,30,34,34,34,34,41,24,36,37,16,22,23,18,24,36,30,30,31,31,32,18,27,34,38,50,35
060770010004,29,36,39,24,30,36,38,38,24,26,33,32,33,34,34,36,17,18,35,38,42,42,18,25,26,28,29,26,27,30,31,32,22,30,31,35,37,30,35,35,26,26,30,38,54,31,31,38,28,37,38,28,28,38,26,29,39,25,38,39,30,30,31,36,37,20,35,36,28,30,30,31,40,25,38,63,37,38,39,18,20,31,6,37,37,27,28,39,40,41,9,25,28,31,50,22,22,24,20,34,38,29,30,30,33,34,34,34,34,35,35,29,40,42,19,26,26,21,27,38,33,33,34,34,34,21,30,34,37,53,33
