spatial_id,driving.atm.1,driving.atm.2,driving.atm.3,driving.bakery.1,driving.bakery.2,driving.bakery.3,driving.bakery.4,driving.bakery.5,driving.bank.1,driving.bank.2,driving.bank.3,driving.beauty_salon.1,driving.beauty_salon.2,driving.beauty_salon.3,driving.beauty_salon.4,driving.beauty_salon.5,driving.book_store.1,driving.book_store.2,driving.book_store.3,driving.bus_station.1,driving.bus_station.2,driving.bus_station.3,driving.cafe.1,driving.cafe.2,driving.cafe.3,driving.cafe.4,driving.cafe.5,driving.clothing_store.1,driving.clothing_store.2,driving.clothing_store.3,driving.clothing_store.4,driving.clothing_store.5,driving.convenience_store.1,driving.convenience_store.2,driving.convenience_store.3,driving.convenience_store.4,driving.convenience_store.5,driving.dentist.1,driving.dentist.2,driving.dentist.3,driving.department_store.1,driving.department_store.2,driving.department_store.3,driving.department_store.4,driving.department_store.5,driving.doctor.1,driving.doctor.2,driving.doctor.3,driving.electronics_store.1,driving.electronics_store.2,driving.electronics_store.3,driving.florist.1,driving.florist.2,driving.florist.3,driving.furniture_store.1,driving.furniture_store.2,driving.furniture_store.3,driving.gym.1,driving.gym.2,driving.gym.3,driving.hair_care.1,driving.hair_care.2,driving.hair_care.3,driving.hair_care.4,driving.hair_care.5,driving.hardware_store.1,driving.hardware_store.2,driving.hardware_store.3,driving.home_goods_store.1,driving.home_goods_store.2,driving.home_goods_store.3,driving.home_goods_store.4,driving.home_goods_store.5,driving.hospital.1,driving.hospital.2,driving.hospital.3,driving.laundry.1,driving.laundry.2,driving.laundry.3,driving.library.1,driving.library.2,driving.library.3,driving.liquor_store.1,driving.liquor_store.2,driving.liquor_store.3,driving.meal_takeaway.1,driving.meal_takeaway.2,driving.meal_takeaway.3,driving.meal_takeaway.4,driving.meal_takeaway.5,driving.park.1,driving.park.2,driving.park.3,driving.park.4,driving.park.5,driving.pet_store.1,driving.pet_store.2,driving.pet_store.3,driving.pharmacy.1,driving.pharmacy.2,driving.pharmacy.3,driving.restaurant.1,driving.restaurant.2,driving.restaurant.3,driving.restaurant.4,driving.restaurant.5,driving.restaurant.6,driving.restaurant.7,driving.restaurant.8,driving.restaurant.9,driving.restaurant.10,driving.school.1,driving.school.2,driving.school.3,driving.shoe_store.1,driving.shoe_store.2,driving.shoe_store.3,driving.shopping_mall.1,driving.shopping_mall.2,driving.shopping_mall.3,driving.store.1,driving.store.2,driving.store.3,driving.store.4,driving.store.5,driving.supermarket.1,driving.supermarket.2,driving.supermarket.3,driving.supermarket.4,driving.supermarket.5,driving.train_station.1
060770004021,5,8,9,4,4,9,10,11,4,5,13,3,5,8,9,12,5,6,15,7,10,11,5,10,10,13,16,4,7,11,12,16,5,10,11,11,12,4,4,4,4,5,10,14,16,3,3,5,4,4,6,6,13,15,6,12,14,6,7,10,3,5,7,7,12,10,10,11,4,5,6,8,9,2,12,15,3,7,10,4,5,9,9,11,13,3,5,7,7,12,2,6,11,13,15,4,8,8,4,4,4,5,8,8,9,9,9,10,10,10,11,4,5,5,4,6,13,6,7,7,8,8,8,8,8,5,7,11,16,18,4
060770004022,5,5,7,4,4,5,9,14,3,3,12,2,4,4,5,7,4,9,12,7,8,10,5,10,10,14,15,4,5,5,10,13,2,6,9,9,10,3,3,3,4,5,10,14,16,3,3,4,5,12,14,4,8,13,4,7,8,4,5,10,2,5,6,8,8,6,10,11,5,5,5,6,8,6,10,13,2,5,10,2,2,8,2,9,10,3,6,7,7,10,2,2,7,7,15,4,7,8,3,3,3,5,5,6,7,8,8,8,8,8,10,3,4,5,4,5,13,4,4,5,7,8,8,8,11,5,6,6,11,14,5
060770004023,2,8,9,2,6,9,9,10,2,2,14,2,4,6,8,9,3,8,10,7,8,11,3,4,5,13,14,2,3,6,7,9,7,8,9,10,10,3,3,3,5,6,8,9,16,4,4,5,2,11,13,6,6,13,3,8,13,4,4,11,2,5,7,9,10,8,9,11,5,5,6,6,9,5,9,11,3,5,9,2,7,8,1,4,9,2,6,8,9,9,3,4,5,6,11,5,5,9,2,2,2,5,5,6,6,7,7,7,8,9,9,3,4,6,5,8,13,3,3,8,7,7,7,8,10,5,7,7,9,15,5
060770004024,9,10,14,4,8,8,10,11,11,12,13,5,6,7,8,9,2,4,13,8,10,12,3,4,8,13,15,1,1,8,14,14,2,2,6,7,15,2,2,2,6,7,9,9,16,5,5,6,1,6,6,5,10,14,4,4,13,2,7,11,2,2,5,6,11,8,10,14,6,6,6,7,10,5,10,12,2,3,11,6,7,10,1,3,9,1,3,8,10,10,1,5,7,7,8,9,9,15,1,1,4,6,6,6,6,7,8,9,9,10,10,5,5,7,8,11,13,4,9,11,8,8,8,8,11,4,7,10,13,14,6
060770005001,1,8,9,1,5,6,10,14,6,8,10,1,2,3,6,7,6,8,15,6,7,9,6,10,10,11,11,5,5,6,11,11,2,10,10,11,11,4,5,5,3,4,12,12,14,3,3,3,5,8,8,7,7,17,3,5,8,7,7,10,4,5,6,6,10,4,8,8,4,4,4,5,6,3,14,17,2,6,8,6,6,10,6,6,8,3,4,4,6,12,5,5,6,8,13,2,6,6,5,5,5,5,6,8,8,9,10,10,10,10,10,3,6,7,4,4,10,4,6,7,6,6,8,8,8,2,6,7,8,10,5
060770005002,3,3,6,3,4,5,6,8,3,4,5,2,3,4,5,6,6,8,11,5,6,9,4,4,9,12,12,6,6,7,8,8,3,6,6,6,7,5,5,5,2,3,9,14,14,1,1,1,6,11,11,5,7,9,3,6,7,3,4,9,4,4,5,5,9,1,6,6,3,4,4,6,6,4,10,11,4,4,8,6,7,10,3,5,6,4,5,8,9,9,3,4,5,7,8,3,6,8,5,6,6,6,6,7,8,8,8,9,9,9,9,3,4,8,2,4,9,4,4,6,6,6,7,7,7,4,7,8,8,8,2
060770006001,3,5,5,3,5,6,7,9,3,6,7,3,4,5,6,7,5,6,8,3,6,7,3,4,6,7,7,4,6,6,6,8,5,5,6,7,7,5,5,7,3,4,7,12,12,2,2,4,6,6,8,4,8,8,2,2,2,3,4,4,3,5,5,5,8,6,8,8,2,4,4,5,5,2,4,8,1,2,4,4,5,6,4,5,6,4,5,5,6,7,3,4,5,5,8,4,7,8,1,5,6,3,5,5,5,5,6,6,6,6,6,2,4,4,3,6,6,2,3,8,4,4,4,4,4,4,6,6,7,7,3
060770006002,5,5,7,4,5,5,6,6,2,4,6,2,2,2,4,4,9,10,11,4,5,5,3,5,6,7,7,3,4,5,6,6,2,2,2,2,4,4,5,5,3,6,6,13,13,3,5,5,4,7,7,3,4,6,1,3,5,4,5,5,2,3,5,6,7,2,5,8,1,1,3,4,4,3,6,6,3,4,6,4,5,9,1,2,4,4,4,5,6,7,3,4,5,5,8,3,7,9,3,4,6,2,2,2,2,3,3,4,5,6,6,5,6,8,5,6,7,5,6,7,1,2,3,4,5,4,4,5,6,6,5
060770007001,3,4,6,2,3,4,5,7,3,5,7,1,1,1,2,6,7,9,10,0,0,6,2,4,5,5,6,1,5,5,5,8,1,1,1,2,6,3,4,4,5,5,7,12,13,3,4,4,2,4,6,2,2,4,1,1,3,4,4,4,1,2,2,4,4,3,4,7,1,1,3,5,6,1,6,8,3,3,4,5,6,7,3,3,5,2,3,4,4,7,5,5,5,6,6,4,8,8,3,3,6,1,1,1,1,3,3,4,5,6,6,5,7,7,5,6,7,4,4,6,1,1,2,4,6,5,5,5,6,7,3
060770007002,4,4,7,1,2,2,4,7,5,5,5,2,2,3,3,5,7,8,9,2,2,3,2,4,5,6,9,2,3,3,6,7,2,3,4,7,7,2,3,3,5,6,8,13,13,2,5,5,2,3,3,2,2,4,2,3,5,3,3,5,1,2,3,4,5,3,3,8,3,3,3,5,6,2,5,10,1,4,5,4,7,7,3,4,6,1,2,3,3,8,3,3,6,7,8,6,7,8,4,4,5,1,4,4,4,4,5,6,6,7,7,3,5,6,5,5,7,3,3,5,2,2,3,5,7,4,6,6,7,9,1
