spatial_id,16907701,16902008,16904009,16902009,16902002,16904010,16904008,16904007,16904011,16905002,16904012,16904006,16904022,16904021,16904003,16904015,16904002,16904016,16904017,16903009,16903010,16903011,16903006,16903005,16902018,16902016,16902020,16903013,16902011,16905003,16910029,16909052,16909051,16909050,16909049,16909061,16908055,16908054,16908053,16908052,16908051,16908050,16908049,16907703,16916201,16907702,17717006,16913524,16913325,16910042,16913326,16913327,16910030,16913328,16913329,16915210,16915201,16915101,16916301
060770001001,14,17,15,17,14,16,15,15,15,14,14,15,14,14,14,13,13,13,12,12,12,14,13,12,12,12,13,12,13,11,15,15,14,14,14,13,13,12,12,12,12,12,11,12,11,12,17,18,17,16,16,15,16,15,14,13,13,13,11
060770001002,19,22,20,23,20,21,20,20,20,20,20,20,19,19,19,18,19,18,18,17,17,19,18,18,18,17,18,17,18,16,20,20,19,19,19,18,18,18,17,17,17,17,16,17,16,18,22,23,22,21,21,20,21,20,19,19,18,18,16
060770001003,17,21,19,21,18,20,19,19,19,18,18,18,18,18,17,17,17,17,16,16,15,18,16,16,16,15,16,16,16,15,18,18,18,18,17,17,16,16,16,16,16,15,15,15,15,16,21,22,20,20,19,19,20,18,18,17,16,16,15
060770001004,25,29,27,29,26,27,27,27,26,26,26,26,25,25,25,25,25,24,24,24,23,26,24,24,24,23,24,23,24,22,26,26,26,25,25,24,24,24,24,24,23,23,22,23,22,24,29,30,28,28,27,27,27,26,26,25,24,24,23
060770003001,36,40,37,40,37,38,37,37,37,37,37,37,36,36,36,35,36,35,35,34,34,36,35,35,35,34,35,34,35,33,37,37,36,36,36,35,35,35,34,34,34,34,33,34,33,35,40,40,39,38,38,37,38,37,36,36,35,35,33
060770003002,28,42,40,42,39,41,40,40,40,39,39,39,39,38,38,38,38,37,37,37,36,36,35,34,35,34,35,36,35,36,30,29,29,29,28,28,28,27,27,27,27,27,26,27,26,27,32,33,32,31,30,30,31,30,29,28,27,28,26
060770004011,44,44,42,44,41,42,42,42,42,41,41,41,41,41,40,40,40,40,39,39,38,38,37,36,36,36,37,38,37,38,46,45,45,45,44,44,44,43,43,43,43,43,42,42,42,43,48,50,47,47,46,46,47,45,47,44,43,45,44
060770004012,43,43,41,43,40,41,41,41,40,40,40,40,39,39,39,39,39,38,38,38,37,37,36,35,35,34,35,37,35,36,44,44,44,43,43,42,42,42,42,42,41,41,41,41,40,42,47,49,46,46,45,45,45,44,46,43,42,44,43
060770004013,47,51,49,51,48,49,49,49,48,48,48,48,47,47,47,47,47,46,46,46,45,48,46,46,46,45,46,46,46,44,48,48,48,47,47,46,46,46,46,46,45,45,44,45,44,46,51,52,50,50,49,49,49,48,48,47,46,46,45
