spatial_id,atm,atm,atm,bakery,bakery,bakery,bakery,bakery,bank,bank,bank,beauty_salon,beauty_salon,beauty_salon,beauty_salon,beauty_salon,book_store,book_store,book_store,bus_station,bus_station,bus_station,cafe,cafe,cafe,cafe,cafe,clothing_store,clothing_store,clothing_store,clothing_store,clothing_store,convenience_store,convenience_store,convenience_store,convenience_store,convenience_store,dentist,dentist,dentist,department_store,department_store,department_store,doctor,doctor,doctor,electronics_store,electronics_store,electronics_store,florist,florist,florist,furniture_store,furniture_store,furniture_store,gym,gym,gym,hair_care,hair_care,hair_care,hair_care,hair_care,hardware_store,hardware_store,hardware_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,hospital,hospital,hospital,laundry,laundry,laundry,library,library,library,liquor_store,liquor_store,liquor_store,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,park,park,park,park,park,pet_store,pet_store,pet_store,pharmacy,pharmacy,pharmacy,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,school,school,school,shoe_store,shoe_store,shoe_store,shopping_mall,shopping_mall,shopping_mall,store,store,store,store,store,supermarket,supermarket,supermarket,supermarket,supermarket,train_station
060770004021,8,18,22,5,9,9,11,15,4,6,10,4,9,13,14,24,7,10,14,11,17,21,4,7,8,9,42,5,12,26,31,35,4,7,13,31,42,5,5,5,6,9,26,5,5,7,5,6,10,11,11,13,10,31,32,7,9,14,4,6,8,9,23,9,20,20,7,7,11,15,18,6,6,6,5,23,32,6,6,17,5,29,31,6,8,8,9,31,1,11,11,12,33,8,11,14,5,5,5,8,12,14,14,15,16,17,17,19,21,5,8,8,5,6,9,8,9,9,12,12,12,14,14,6,7,12,12,22,6
060770004022,7,8,8,7,7,8,13,16,3,21,33,2,6,7,7,8,8,21,21,11,12,16,6,6,9,18,41,5,7,9,28,33,1,2,11,12,16,4,4,4,5,8,25,4,5,5,7,29,36,6,13,14,7,10,10,5,7,17,3,5,9,10,13,8,12,27,6,6,6,9,14,7,7,7,9,22,29,4,4,18,3,6,18,8,10,14,28,29,2,3,9,10,12,7,11,13,5,5,5,6,7,10,12,13,13,14,14,15,18,4,6,7,5,5,8,4,5,7,12,12,13,13,20,7,8,9,9,21,6
060770004023,4,10,20,6,9,9,12,15,3,3,5,4,5,9,10,10,5,20,22,13,15,22,3,5,6,21,37,3,4,9,10,32,3,11,14,18,28,3,5,5,8,10,27,7,7,7,3,31,32,4,4,17,5,12,33,5,6,18,3,9,11,12,24,13,13,24,8,9,9,9,16,5,9,9,2,24,33,3,9,13,4,5,15,3,4,9,13,28,4,5,7,29,32,9,10,16,3,3,3,8,9,10,11,14,14,15,16,17,20,6,6,20,8,10,27,6,6,10,14,14,14,15,22,4,7,10,11,21,8
060770004024,6,11,21,2,8,10,12,23,1,4,25,8,11,11,12,12,2,7,21,15,20,24,2,4,26,37,45,1,1,3,12,34,9,16,26,26,29,3,3,3,9,12,29,8,9,9,1,8,9,6,15,15,7,8,35,3,9,22,2,3,8,10,26,18,28,35,10,10,10,16,17,5,8,8,2,8,20,8,12,37,16,20,32,2,2,17,29,36,5,6,6,6,31,9,15,15,1,1,1,10,12,12,13,15,16,17,18,19,22,7,10,22,9,12,29,8,12,17,16,16,17,17,24,3,5,9,10,22,9
060770005001,2,25,28,8,10,13,19,23,8,14,17,2,3,4,10,11,9,12,16,11,13,17,9,11,12,13,30,7,8,10,34,36,2,7,10,18,33,7,7,7,5,7,23,5,6,6,7,12,12,11,13,17,4,7,11,9,11,14,6,7,8,9,19,10,11,17,6,6,7,8,9,7,8,11,2,13,28,8,8,22,2,11,33,4,4,8,9,33,7,13,13,15,36,5,6,9,7,7,7,9,10,14,15,15,16,16,18,19,19,3,8,10,4,5,7,4,9,11,11,11,13,13,13,2,9,14,14,17,6
060770005002,3,4,21,5,8,9,12,20,4,6,9,3,4,4,8,22,9,20,22,8,10,14,4,4,5,14,37,5,12,13,14,29,4,9,10,16,19,10,10,10,3,4,19,2,2,2,10,23,29,8,9,12,5,6,11,3,4,14,7,8,10,10,30,1,10,17,4,4,4,7,7,9,11,16,4,5,6,7,17,17,4,6,7,4,4,15,29,30,7,9,16,32,34,1,7,13,9,11,11,7,8,11,12,13,14,14,15,16,16,4,6,13,3,4,19,5,5,6,8,8,10,10,10,5,12,12,13,17,3
060770006001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
060770006002,6,9,16,6,7,7,7,13,2,6,8,4,4,5,6,7,14,19,19,6,8,8,6,7,8,10,12,6,8,8,9,10,4,4,4,5,6,6,6,8,5,6,14,6,6,6,6,9,9,6,7,8,2,6,10,5,6,7,4,7,7,7,8,3,7,13,2,2,6,7,8,5,11,11,4,8,12,5,7,12,2,3,8,6,7,8,9,10,5,5,8,8,10,5,11,18,5,5,9,4,4,5,5,6,6,6,7,10,11,9,11,14,6,7,7,7,8,9,2,5,6,6,9,7,8,9,10,10,5
060770007001,5,8,9,2,3,4,12,15,5,8,10,2,2,2,3,11,14,17,19,0,0,11,3,6,6,12,12,2,6,8,10,11,1,2,2,2,13,4,6,6,6,7,17,5,6,8,3,6,13,3,3,6,2,2,4,5,6,6,2,3,4,6,8,3,6,11,2,2,6,8,10,1,13,13,4,5,6,6,13,14,4,6,6,2,4,6,6,9,6,9,10,10,10,7,13,19,5,5,13,2,2,2,2,4,4,4,7,8,8,10,13,14,6,9,17,6,7,10,1,2,3,6,11,6,8,10,11,12,3
060770007002,5,9,10,1,2,3,6,13,6,8,10,2,2,4,5,6,12,15,18,2,2,4,3,4,5,14,14,3,4,5,11,11,3,4,4,11,13,2,4,4,7,9,18,2,7,8,3,4,4,2,4,5,2,4,6,4,5,11,2,3,5,6,6,4,5,14,3,4,5,8,13,2,8,14,3,6,7,5,16,19,3,8,12,3,3,4,4,11,4,5,6,11,15,10,14,21,6,6,9,3,5,5,5,7,10,11,11,13,14,3,6,11,6,7,10,4,6,8,3,3,4,8,13,5,10,11,14,15,1
060770007003,7,12,14,5,6,12,13,17,7,13,20,2,3,5,7,9,12,13,16,6,6,16,6,6,10,13,25,4,6,7,9,17,5,6,16,17,18,2,6,6,8,10,21,2,9,11,2,2,6,5,6,9,1,7,10,3,5,11,3,5,5,7,11,6,11,14,2,4,8,9,11,9,17,17,5,14,18,11,13,20,5,6,16,2,5,6,6,13,1,6,8,12,12,10,15,23,7,11,17,3,4,5,5,5,8,9,9,12,14,6,9,10,8,12,13,5,6,18,6,6,7,15,15,7,12,14,16,19,3
060770007004,9,10,18,6,7,14,16,25,9,10,21,4,5,7,13,14,11,13,16,8,8,17,9,12,16,17,25,6,11,18,18,22,5,6,12,17,22,5,10,10,10,13,22,3,10,11,3,7,14,6,8,12,3,12,17,5,7,8,4,7,9,13,13,7,8,18,4,11,11,14,18,11,18,18,6,6,10,11,12,25,6,9,13,2,7,7,15,20,9,12,12,13,19,13,23,25,11,13,18,4,5,5,6,6,7,11,12,14,15,9,12,13,10,13,18,5,17,21,7,8,8,11,16,12,14,15,18,19,5
060770008011,12,12,20,11,24,30,31,32,13,22,39,9,12,14,21,31,10,17,20,17,17,26,15,20,21,21,46,14,19,21,21,23,16,20,22,23,24,11,11,21,14,17,31,15,15,15,14,15,21,15,19,24,14,20,21,14,15,18,9,9,19,21,24,20,21,25,14,15,16,20,27,18,19,22,18,19,37,29,31,33,16,16,23,18,19,21,22,23,16,19,22,23,25,22,27,29,18,21,27,12,14,14,15,16,19,20,21,21,27,11,12,14,21,22,31,9,9,25,16,17,17,19,26,18,21,22,23,24,13
060770008012,7,7,15,8,9,10,25,26,14,16,33,9,11,17,19,21,7,19,23,15,15,18,8,12,20,23,24,12,15,17,20,20,6,11,18,20,24,8,9,16,16,20,24,11,11,16,7,8,20,10,10,11,8,15,23,8,9,24,9,9,10,11,20,12,19,20,8,11,17,17,20,20,20,24,9,15,22,17,19,21,19,21,21,8,9,13,20,21,12,15,16,17,20,19,29,31,11,15,17,8,8,9,9,10,11,17,17,18,20,14,18,25,16,19,24,11,11,27,15,15,15,17,17,11,16,17,18,25,11
060770008013,15,15,15,14,17,24,24,40,17,18,26,22,22,24,24,25,7,22,25,17,21,21,12,14,23,26,27,16,22,23,25,25,11,14,23,23,27,13,15,18,18,22,30,13,20,20,12,26,30,16,18,19,18,18,18,13,22,30,15,18,19,21,23,12,25,25,13,15,19,21,26,22,23,33,23,26,28,20,34,38,7,20,28,15,23,24,24,28,17,18,22,24,33,26,31,33,21,22,26,12,16,19,19,20,21,21,24,24,25,11,17,22,17,24,26,13,13,29,16,17,22,22,23,19,22,23,26,27,15
060770009001,18,24,29,6,6,15,19,30,8,8,44,9,14,19,19,28,7,27,29,23,23,31,7,8,8,12,31,6,9,19,23,41,8,15,33,33,51,10,10,14,16,19,36,16,16,16,13,15,22,8,10,21,6,7,42,8,8,8,14,18,18,33,36,7,25,32,17,17,18,18,23,11,13,13,6,8,8,10,13,44,16,21,36,8,8,23,36,43,2,4,6,23,24,4,21,22,8,8,11,16,16,19,19,20,22,22,24,26,26,13,15,17,15,19,36,15,16,19,23,23,24,30,31,6,9,15,16,30,19
060770009002,12,12,14,11,15,18,23,28,13,14,43,16,16,25,33,35,7,13,28,23,23,31,12,18,29,30,51,12,12,18,19,20,20,31,32,36,51,11,13,13,16,19,36,15,15,15,18,19,19,2,11,23,12,21,21,13,13,13,14,23,23,36,36,18,23,29,17,19,20,20,22,12,19,19,6,13,14,15,18,43,16,21,22,13,13,21,35,36,11,22,35,38,38,9,21,25,13,15,16,15,16,18,18,20,21,21,23,25,25,14,14,32,16,19,36,14,14,21,22,23,23,23,30,11,14,19,20,31,18
060770009003,13,20,28,8,9,16,20,24,9,10,44,16,20,20,20,25,7,28,29,23,23,31,10,10,20,30,43,8,20,20,20,39,10,17,32,32,50,10,11,12,16,20,36,16,16,16,14,21,33,8,12,23,6,24,32,10,10,10,12,18,25,25,25,21,26,NA,16,17,17,22,24,13,14,15,9,10,28,12,15,44,9,21,25,10,22,24,36,43,4,8,23,25,36,6,23,23,9,9,13,16,16,19,19,20,21,22,24,25,26,13,14,18,15,20,36,14,18,20,23,23,24,24,30,8,11,20,21,29,18
